Lake,Latitude,Longitude,Elevation (ft),Surface_Area (acres),Max Depth (ft),Class,Bloom 2012 (wks),Bloom 2013 (wks),Bloom 2014 (wks),Bloom 2015 (wks),Bloom 2016 (wks)
Conesus,42.7345295,-77.7114314,818,3420,66,Lake,0,0,7,3,4
Hemlock,42.7256111,-77.6089974,905,1800,91,Lake,0,0,0,0,0
Canadice,42.7172193,-77.5689109,1096,649,95,Lake,0,0,0,0,0
Honeoye,42.7542551,-77.511569,804,1772,30,Lake,12,18,8,7,9
Canandaigua,42.7781052,-77.3050037,688,10558,276,Lake,0,0,0,4,3
Keuka,42.4932807,-77.140597,715,11584,183,Lake,0,0,0,0,0
Seneca,42.6128628,-76.9182833,445,43343,618,Lake,0,0,0,6,2
Cayuga,42.5817129,-76.6349153,381,42956,435,Lake,0,0,3,0,7
Owasco,42.8341951,-76.5101168,712,6665,177,Reservoir,1,7,12,9,9
Skaneateles,42.8606407,-76.3641074,863,8960,300,Reservoir,0,0,0,0,0
Otisco,42.8666847,-76.284955,787,1877,76,Reservoir,0,0,0,0,0
